(133.60104853983682, 123.56082839468743)#2020-3-17 12:18:00.000000
(123.69758221478848, 133.78265003542182)#2020-9-22 6:16:00.000000
(123.82144145104219, 127.26844931613944)#2020-3-20 17:42:00.000000
(127.38996844904607, 126.78252329754147)#2020-3-6 3:7:00.000000
(123.37194099728289, 132.72750498936315)#2020-2-2 17:4:00.000000
(127.5577824866487, 123.34348919903978)#2020-11-26 22:52:00.000000
(123.93299898023469, 123.73933004353121)#2020-5-10 20:30:00.000000
(123.8925227049986, 123.12350301547708)#2020-3-25 22:10:00.000000
(131.1744317390748, 123.48105721949085)#2020-9-12 22:22:00.000000
(128.1106124090012, 123.50366876111414)#2020-8-6 17:51:00.000000
(123.48431447802314, 123.97325197407012)#2020-7-11 10:54:00.000000
(132.4563757263891, 123.88128361964147)#2020-10-17 9:37:00.000000
(131.10110389591617, 128.30987655907182)#2020-6-9 2:2:00.000000
(130.4369169021969, 123.97753792580254)#2020-8-24 16:48:00.000000
(132.53788319532913, 132.42182785394297)#2020-9-20 9:17:00.000000
(129.3623207556305, 128.69719888523662)#2020-10-19 5:42:00.000000
(123.01448320214634, 127.68899110782557)#2020-9-16 18:39:00.000000
(123.00026764720056, 123.32131930499715)#2020-3-26 12:7:00.000000
(123.73290436817207, 126.51221055181108)#2020-3-10 3:57:00.000000
(126.94996125280188, 123.0302056037566)#2020-2-1 19:16:00.000000
(126.63515842301393, 128.57325266746824)#2020-2-19 16:51:00.000000
(127.78525923802873, 129.49183065074092)#2020-9-16 2:35:00.000000
(123.52591806512994, 123.7015728915844)#2020-3-13 6:18:00.000000
(131.24071310821697, 123.13179386233747)#2020-2-19 6:21:00.000000
(123.40776769357926, 123.33306904724719)#2020-8-18 4:50:00.000000
(123.53366378148048, 123.3446391279556)#2020-8-6 21:7:00.000000
(127.1626285173253, 123.5938639451469)#2020-2-17 21:54:00.000000
(123.8659858667088, 123.67923907037134)#2020-7-19 10:36:00.000000
(123.59045284597364, 130.03951026464236)#2020-3-10 5:41:00.000000
(131.2391968286753, 123.59134581871672)#2020-10-1 13:47:00.000000
(123.21884835898962, 123.53213920219339)#2020-4-16 16:56:00.000000
(123.26816065593502, 129.19032030040225)#2020-10-1 19:1:00.000000
(131.097870503661, 126.42368113676916)#2020-7-2 20:1:00.000000
(127.28344480024685, 123.50611452153974)#2020-2-26 13:57:00.000000
(133.01391847903486, 128.15843754103534)#2020-4-24 9:32:00.000000
(123.69080439404736, 123.1930805757736)#2020-3-19 20:8:00.000000
(123.24678290382163, 126.38259439920003)#2020-7-22 18:3:00.000000
(123.55858558971279, 128.79391198005186)#2020-8-12 10:31:00.000000
(123.23008501187435, 129.86155619779166)#2020-5-6 3:20:00.000000
(129.07278630607252, 124.68566160172911)#2020-6-1 22:14:00.000000
(126.37340440485535, 124.49562795103695)#2020-4-27 8:31:00.000000
(129.79805691384104, 123.78625144540048)#2020-7-19 19:27:00.000000
(128.95223651782703, 123.62429970778874)#2020-9-9 15:38:00.000000
(123.79194316489098, 124.54105913688291)#2020-3-27 21:20:00.000000
(128.9317692855689, 132.48528932221572)#2020-2-11 14:18:00.000000
(127.27639731256387, 127.377790315147)#2020-5-16 11:40:00.000000
(128.35310331279754, 123.55723389421591)#2020-5-8 15:26:00.000000
(123.51135565867646, 130.30256922645887)#2020-11-19 19:5:00.000000
(123.38248129215476, 123.32767570572422)#2020-4-27 9:43:00.000000
(123.05834403155501, 123.64991164847667)#2020-8-8 13:5:00.000000
(123.77727210410796, 127.47071006460948)#2020-10-2 15:7:00.000000
(123.34140368990319, 123.31993730463869)#2020-7-25 13:52:00.000000
(132.79147233896876, 128.4705523878301)#2020-3-12 14:21:00.000000
(123.5462310939533, 123.64130267991058)#2020-10-8 3:25:00.000000
(129.29271104840873, 123.82565997472148)#2020-9-7 8:50:00.000000
(132.53262495833698, 123.28050126985418)#2020-9-15 11:18:00.000000
(131.3480621066645, 130.56211173908676)#2020-10-25 12:23:00.000000
(123.55705606069161, 123.49446390963236)#2020-4-25 19:39:00.000000
(128.54476603262125, 123.89542451924986)#2020-2-3 18:46:00.000000
(130.4532458513676, 123.02411121724704)#2020-7-22 17:1:00.000000
(123.3450998984222, 123.51364199534629)#2020-8-1 13:12:00.000000
(123.76107559231761, 132.9474601184097)#2020-9-14 22:50:00.000000
(123.98860934127298, 123.31496094973329)#2020-3-21 1:46:00.000000
(123.40641468415015, 123.2656535262922)#2020-5-7 17:54:00.000000
(129.50413379634807, 128.28405304216815)#2020-6-17 4:24:00.000000
(123.10555378017794, 123.12464534862197)#2020-8-13 1:2:00.000000
(123.74013292675698, 123.57139835440745)#2020-2-4 12:54:00.000000
(126.09873257570064, 123.2433602204623)#2020-1-21 9:37:00.000000
(126.12830880994714, 124.127981925785)#2020-1-12 2:48:00.000000
(133.05839523921992, 123.82157116978296)#2020-11-27 6:46:00.000000
(128.24390886411203, 123.55600170753775)#2020-10-14 5:40:00.000000
(125.13980955912407, 125.79316325526437)#2020-1-3 22:43:00.000000
(123.06703297626136, 124.03216523704198)#2020-9-13 3:12:00.000000
(123.65076080586475, 129.8826389632872)#2020-4-2 22:8:00.000000
(130.24436266479583, 132.00800489386975)#2020-11-27 12:11:00.000000
(123.14582626104458, 125.55858722240764)#2020-10-10 20:53:00.000000
(123.12406712877637, 129.9413238829806)#2020-9-9 14:17:00.000000
(128.11171927022662, 123.83692123845599)#2020-4-8 17:34:00.000000
(128.50049942107523, 123.60172824343951)#2020-11-3 6:5:00.000000
(123.9309697284824, 129.46523305066793)#2020-6-10 10:7:00.000000
(123.455480849201, 131.30451875420826)#2020-5-9 12:10:00.000000
(123.73790016717949, 123.68812411889576)#2020-11-12 9:31:00.000000
(123.3731164921346, 133.39067653373752)#2020-10-11 11:47:00.000000
(123.14610219085948, 123.80502223784521)#2020-9-15 12:30:00.000000
(123.46804405660552, 129.62917731780797)#2020-2-18 18:38:00.000000
(123.64052948021549, 123.21071908973761)#2020-7-1 21:56:00.000000
(123.23203403527103, 124.16602911409689)#2020-8-22 3:43:00.000000
(123.71237615463143, 132.30066029037684)#2020-7-13 7:52:00.000000
(131.57684079989588, 123.06643978005215)#2020-8-4 3:11:00.000000
(123.7783077943031, 129.53096230602918)#2020-7-17 10:21:00.000000
(123.55113603021691, 123.69969297919228)#2020-2-21 13:49:00.000000
(124.78422642778062, 123.88742446539605)#2020-1-12 16:57:00.000000
(123.36490272469206, 128.82283521423184)#2020-5-4 11:4:00.000000
(132.3007536539966, 123.99321004119295)#2020-2-24 10:10:00.000000
(123.02592275482604, 124.09782464321084)#2020-3-27 22:18:00.000000
(123.95082597580056, 123.63315491600855)#2020-8-27 13:37:00.000000
(123.61859471581064, 123.55022885201157)#2020-2-1 14:58:00.000000
(123.7468438473227, 123.30772749955463)#2020-11-14 8:21:00.000000
(126.87566571465301, 123.63266247515129)#2020-9-11 9:54:00.000000
(132.1504747585309, 123.5862866112445)#2020-5-20 20:49:00.000000
(126.20905332107216, 123.91481878482735)#2020-11-26 1:21:00.000000
(123.0216705409155, 123.40712341902716)#2020-1-6 21:22:00.000000
(123.18557390319063, 123.88390073435215)#2020-2-16 9:38:00.000000
(126.66837577606944, 123.75681412610137)#2020-11-26 2:51:00.000000
(128.88554319698332, 123.31414116135078)#2020-9-21 10:41:00.000000
(124.50818264911723, 131.6242013967099)#2020-1-21 21:29:00.000000
(123.29092042803565, 128.13043380791405)#2020-5-14 12:15:00.000000
(123.0860678592751, 131.04136394908403)#2020-3-22 2:6:00.000000
(123.08962031834912, 127.29323997934455)#2020-7-25 9:52:00.000000
(123.73039795116559, 128.35792596346312)#2020-11-14 15:41:00.000000
(123.68264562372414, 128.7560456074985)#2020-9-23 15:34:00.000000
(123.9890861948524, 123.70749218653691)#2020-11-19 6:12:00.000000
(123.55551510201234, 123.9470229078339)#2020-9-8 6:28:00.000000
(126.65978145867393, 132.51337003749978)#2020-4-25 6:50:00.000000
(128.01167042674876, 130.94785852914603)#2020-7-7 4:40:00.000000
(123.9182640369755, 123.45213350472926)#2020-6-12 8:20:00.000000
(123.35241513410435, 127.8211951646966)#2020-8-9 16:3:00.000000
(131.0614117472548, 131.92954301975374)#2020-7-22 17:45:00.000000
(123.18708570078257, 131.2247691021822)#2020-10-22 15:13:00.000000
(124.62074930251525, 126.60455105593748)#2020-1-17 8:11:00.000000
(127.74355713713837, 131.91522488011034)#2020-9-4 6:56:00.000000
(131.15707158518796, 126.3820596174227)#2020-9-18 17:45:00.000000
(123.83253241728141, 126.88971718756171)#2020-8-25 21:51:00.000000
(123.27093748572625, 123.4880021900706)#2020-5-12 16:34:00.000000
(123.05220682801608, 126.89943311717406)#2020-10-20 14:45:00.000000
(123.6751026752096, 123.46196885812854)#2020-5-25 20:10:00.000000
(123.2621872039173, 123.72122562883501)#2020-1-4 11:51:00.000000
(130.97679329131802, 132.23398996294645)#2020-8-2 9:10:00.000000
(123.6717054694479, 123.16328430936758)#2020-3-11 15:26:00.000000
(128.83760510902755, 125.57771230176638)#2020-6-24 21:34:00.000000
(123.96033862479847, 126.8690970881321)#2020-10-25 16:10:00.000000
(123.942642921421, 123.94512432984526)#2020-10-2 11:8:00.000000
(123.60157573314163, 123.35523364268833)#2020-9-19 12:46:00.000000
(123.80186355199852, 130.2918653772967)#2020-6-8 15:23:00.000000
(130.93809879535542, 123.3362331005132)#2020-9-14 5:36:00.000000
(128.8722309767973, 123.56132830923285)#2020-6-14 3:53:00.000000
(123.81216453778568, 123.90299108721051)#2020-10-8 8:22:00.000000
(125.01023242035582, 130.77135966491196)#2020-9-3 13:48:00.000000
